#Processors,expected performance [MLUPs/sec],measured performance [MLUPs/sec],difference in performance [MLUPs/sec]
4,355.19413018421426,450.740879615,95.54674943078572
8,640.899883976318,891.285363587,250.38547961068195
12,961.349825964477,1336.25329837,374.9034724055231
