Time,Iteration,#Processors
0.00571138,29,6
0.00564765,30,6
0.00739851,31,6
0.00457580,32,6
0.00582744,33,6
0.00491396,34,6
0.00647049,35,6
0.00448517,36,6
0.00568889,37,6
0.00339297,38,6
0.00541567,39,6
0.00467196,40,6
0.00585461,41,6
0.00482545,42,6
0.00592963,43,6
0.00556254,44,6
0.00436311,45,6
0.00597493,46,6
0.00501240,47,6
0.00458001,48,6
0.00619992,49,6
0.00526332,50,6
0.00363091,1,7
0.00628280,2,7
0.00482147,3,7
0.00582676,4,7
0.00626153,5,7
0.00689033,6,7
0.00589318,7,7
0.00506485,8,7
0.00589407,9,7
0.00701653,10,7
0.00703977,11,7
0.00465749,12,7
0.00577418,13,7
0.00744568,14,7
0.00580006,15,7
0.00617928,16,7
0.00558408,17,7
0.00631773,18,7
0.00563562,19,7
0.00735309,20,7
0.00628244,21,7
0.00339065,22,7
0.00618407,23,7
0.00443694,24,7
0.00581821,25,7
0.00613643,26,7
0.00491944,27,7
0.00503635,28,7
0.00692417,29,7
0.00653320,30,7
0.00504532,31,7
0.00617498,32,7
0.00564614,33,7
0.00554156,34,7
0.00588594,35,7
0.00497204,36,7
0.00463185,37,7
0.00466427,38,7
0.00619095,39,7
0.00644662,40,7
0.00450730,41,7
0.00469223,42,7
0.00574041,43,7
0.00509430,44,7
0.00595592,45,7
0.00620579,46,7
0.00497239,47,7
0.00753301,48,7
0.00520624,49,7
0.00355373,50,7
0.00488955,1,8
0.00551556,2,8
0.00574444,3,8
0.00743875,4,8
0.00459312,5,8
0.00553217,6,8
0.00460339,7,8
0.00471008,8,8
0.00445883,9,8
0.00444995,10,8
0.00481809,11,8
0.00646975,12,8
0.00468826,13,8
0.00564276,14,8
0.00682331,15,8
0.00515015,16,8
0.00457559,17,8
0.00397660,18,8
0.00511640,19,8
0.00492673,20,8
0.00496789,21,8
0.00527428,22,8
0.00503621,23,8
0.00402939,24,8
0.00582363,25,8
0.00580383,26,8
0.00515188,27,8
0.00442078,28,8
0.00468631,29,8
0.00349919,30,8
0.00593050,31,8
0.00571286,32,8
0.00517819,33,8
0.00337406,34,8
0.00489604,35,8
0.00602457,36,8
0.00514177,37,8
0.00473381,38,8
0.00445378,39,8
0.00600816,40,8
0.00486136,41,8
0.00655225,42,8
0.00455810,43,8
0.00492454,44,8
0.00656453,45,8
0.00443657,46,8
0.00563976,47,8
0.00786052,48,8
0.00562674,49,8
0.00489974,50,8
0.00490365,1,9
0.00481741,2,9
0.00517041,3,9
0.00472833,4,9
0.00451072,5,9
0.00538852,6,9
0.00551606,7,9
0.00452462,8,9
0.00569543,9,9
0.00559501,10,9
0.00488875,11,9
0.00498468,12,9
0.00503340,13,9
0.00482155,14,9
0.00578705,15,9
0.00625386,16,9
0.00601560,17,9
0.00499884,18,9
0.00426059,19,9
0.00566129,20,9
0.00610366,21,9
0.00449588,22,9
0.00633571,23,9
0.00558136,24,9
0.00459237,25,9
0.00563265,26,9
0.00507146,27,9
0.00446361,28,9
0.00562284,29,9
0.00586954,30,9
0.00457421,31,9
0.00586778,32,9
0.00458991,33,9
0.00598668,34,9
0.00537725,35,9
0.00446709,36,9
0.00568745,37,9
0.00463482,38,9
0.00561720,39,9
0.00561529,40,9
0.00461098,41,9
0.00583914,42,9
0.00438348,43,9
0.00600997,44,9
0.00602278,45,9
0.00587348,46,9
0.00603015,47,9
0.00464152,48,9
0.00691426,49,9
0.00477319,50,9
0.00653630,1,10
0.00470190,2,10
0.00458059,3,10
0.00634839,4,10
0.00635986,5,10
0.00576579,6,10
0.00558289,7,10
0.00577953,8,10
0.00624573,9,10
0.00568711,10,10
0.00495827,11,10
0.00582675,12,10
0.00560891,13,10
0.00583852,14,10
0.00500832,15,10
0.00460585,16,10
0.00639417,17,10
0.00502663,18,10
0.00738110,19,10
0.00595229,20,10
0.00479267,21,10
0.00595188,22,10
0.00615597,23,10
0.00647799,24,10
0.00645355,25,10
0.00585478,26,10
0.00437944,27,10
0.00619698,28,10
0.00613071,29,10
0.00493565,30,10
0.00688768,31,10
0.00515690,32,10
0.00597686,33,10
0.00455032,34,10
0.00560639,35,10
0.00504574,36,10
0.00498651,37,10
0.00464002,38,10
0.00487033,39,10
0.00577033,40,10
0.00679250,41,10
0.00487008,42,10
0.00476284,43,10
0.00501399,44,10
0.00612879,45,10
0.00444238,46,10
0.00473573,47,10
0.00575818,48,10
0.00572656,49,10
0.00476284,50,10
0.00603796,1,11
0.00594336,2,11
0.00589046,3,11
0.00692799,4,11
0.00571523,5,11
0.00574183,6,11
0.00538750,7,11
0.00634373,8,11
0.00595937,9,11
0.00659250,10,11
0.00609494,11,11
0.00587996,12,11
0.00619773,13,11
0.00570298,14,11
0.00670526,15,11
0.00704429,16,11
0.00573019,17,11
0.00550800,18,11
0.00574077,19,11
0.00505348,20,11
0.00628943,21,11
0.00649058,22,11
0.00557386,23,11
0.00577680,24,11
0.00597472,25,11
0.00575668,26,11
0.00569150,27,11
0.00587156,28,11
0.00567601,29,11
0.00583070,30,11
0.00698970,31,11
0.00600286,32,11
0.00599401,33,11
0.00589299,34,11
0.00509087,35,11
0.00708278,36,11
0.00579792,37,11
0.00632951,38,11
0.00667762,39,11
0.00565547,40,11
0.00642892,41,11
0.00548300,42,11
0.00491567,43,11
0.00661206,44,11
0.00665722,45,11
0.00665820,46,11
0.00621648,47,11
0.00545490,48,11
0.00567384,49,11
0.00460886,50,11
0.00568203,1,12
0.00460882,2,12
0.00455010,3,12
0.00641599,4,12
0.00610565,5,12
0.00508731,6,12
0.00549505,7,12
0.00466216,8,12
0.00592103,9,12
0.00528000,10,12
0.00580310,11,12
0.00557810,12,12
0.00597744,13,12
0.00489191,14,12
0.00669628,15,12
0.00607406,16,12
0.00602996,17,12
0.00631369,18,12
0.00610357,19,12
0.00506662,20,12
0.00515627,21,12
0.00484878,22,12
0.00744440,23,12
0.00689733,24,12
0.00558777,25,12
0.00700419,26,12
0.00605644,27,12
0.00549886,28,12
0.00565219,29,12
0.00597447,30,12
0.00454429,31,12
0.00691955,32,12
0.00654188,33,12
0.00636183,34,12
0.00585147,35,12
0.00621424,36,12
0.00589733,37,12
0.00531989,38,12
0.00504767,39,12
0.00649764,40,12
0.00533832,41,12
0.00635111,42,12
0.00701782,43,12
0.00595650,44,12
0.00484618,45,12
0.01753888,46,12
0.00652309,47,12
0.00604251,48,12
0.00465679,49,12
0.00586792,50,12
0.00628625,1,13
0.00576436,2,13
0.00641072,3,13
0.00718327,4,13
0.00805991,5,13
0.00547329,6,13
0.00694331,7,13
0.00622419,8,13
0.00667537,9,13
0.00741520,10,13
