#Processors,expected performance [MLUPs/sec],measured performance [MLUPs/sec],difference in performance [MLUPs/sec]
12,831.2617214778753,918.746449966,87.48472848812469
24,1662.5234429557506,1779.42073415,116.89729119424942
48,3325.0468859115012,2750.75611807,-574.2907678415013
